sentiments,text,cleaned_review_length,review_score,summary
positive,i wish would have gotten one earlier love it and it makes working in my laptop so much easier,19,5,i wish would have gotten one earlier love it . it makes working in my laptop so much easier .
neutral,i ve learned this lesson again open the package and use the product right away ordered this mouse in august as my travel mouse and just packed it away in my bag now ve been visiting family in the pnw since mid september the mouse took charge and worked fine for couple of weeks after recharged the mouse it worked for day or two and then ceased to function the optical light will flash once when turned on then nothing of course the return window is well past ,88,1,i ve learned this lesson again open the package and use the product right away ordered this mouse in august as my travel mouse and just packed it away in my bag now ve been visiting family in the pnw since mid september the mouse took charge and worked fine for couple of weeks after recharged the mouse it worked for day or two and then ceased to function .
neutral,it is so slow and lags find better option,9,2,it is so slow and lags find better option .
neutral,roller ball stopped working within months of minimal use piece of junk ,12,1,roller ball stopped working within months of minimal use piece of junk .
neutral,i like the color and size but it few days out of the return period and it will not hold charge,21,1,i like the color and size but it few days out of the return period and it will not hold charge .
positive,overall love this mouse the size weight clicking is all fabulous however ve had two of these now and the middle scroller has randomly fallen in without rough use it wasn dropped literally was not even touching it the second time and heard it fall if you need to use the middle scroller lot do not recommend purchase if you don use that feature then it great mouse ,68,3,the middle scroller has randomly fallen in without rough use . it was dropped literally was not touching it the second time and heard it fall .
neutral,it stopped working,3,1,it stopped working and stopped working . .
positive,my son uses school issued chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case he was not rough with it and it was stored carefully when not in use am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at campground there is an email on the bottom of the mouse that says lifetime replacement but have tried twice now to email them about it and it keeps bouncing back as undeliverable am sure this has been great product for many and we likely got the dud so am not telling anyone not to buy it but am sharing our experience for others to consider ,170,1,my son uses chromebook for school work and hates using the touch pad to navigate the mouse so we looked into wireless mouse and found this one had so many good reviews unfortunately the scrolling wheel has already broken and he has only used it month since he only uses it for his school computer it mostly stayed stored safely in the carrying case .
negative,loved this cute little mouse but it broke after months the wheel broke off from the gear ,17,1,the mouse broke off after months the wheel broke off from the gear .
negative,should ve spent the money to get quality product this thing stopped working after about week worthless,17,1,should ve spent the money to get quality product this thing stopped working after about week worthless .
neutral,beautifully produced and lovely to look at for mouse the lights are welcome addition to an otherwise drab workspace did notice that it tends to go into sleep mode quickly but takes longer wake up time than expect on screen busy with windows the cursor freezes in position until the mouse fully comes back to life it frustrating for anyone who isn patient ,63,3,mouse the lights are welcome addition to an otherwise drab workspace did notice that it tends to go into sleep mode quickly but takes longer wake up time than expect on screen busy with windows the cursor freezes in position until the mouse fully comes back to life it frustrating for anyone who isn patient .
negative,first one broke in week they sent replacement and returned broken one and it still hasn processed return now new one broke weeks later would not recommend this mouse,29,2,first one broke in week they sent replacement and returned broken one . it still hasn processed return now new one broke weeks later would not recommend this mouse .
negative,i don typically write reviews but keep having this issue with tech products from amazon the mouse stopped working after months of use it charges and sometimes can get short term use out of it but it very glitchy and lags across the screen ,44,1,the mouse stopped working after months of use it charges and sometimes can get short term use out of it but it very glitchy and lags across the screen . i don typically write reviews but keep having this issue with tech products from amazon .
neutral,i liked the wireless mouse however after months the roller on the mouse stopped working which leaves me not being able to scroll up or down on my pc ll have to look into buying more sturdy mouse ,38,1,the wireless mouse stopped working after months of roller on the mouse . it leaves me not being able to scroll up or down on my pc ll have to look into buying more sturdy mouse if i buy a wireless mouse.
neutral,the wheel from the mouse not working anymore it only lasted for about months really nice mouse but doesn last ,20,3,the wheel from the mouse not working anymore it only lasted about months really nice mouse but doesn last for about months .
negative,nothing but issues the scroll wheel broke for no reason at all no longer holds charge would not recommend ,19,1,scroll wheel broke for no reason at all no longer holds charge would not recommend .
neutral,wouldn recommend have been trying to charge it for days ,10,1,wouldn recommend have been trying to charge it for days .
neutral,i bought this in late june it looks cool with the lights and all it doesn give warning that the battery is low just stops working now it is doing all kinds of weird stuff clicking on items that you didn etc too late to return oh well not recommended ,50,1,it looks cool with the lights and all it doesn give warning that the battery is low just stops working now it is doing all kinds of weird stuff clicking on items that you didn etc too late to return oh well not recommended .
neutral,after few weeks the scroll wheel stopped working returning it ,10,2,after few weeks the scroll wheel stopped working returning it . it stopped working .
neutral,this is the second time have ordered this mouse actually really like the mouse except for the fact that they keep breaking and have to order new one so for that reason am only going to give you two stars ordered this particular mouse only two months ago and it already broken should get my money back ,57,2,this is the second time have ordered this mouse actually really like the mouse except for the fact that they keep breaking and have to order new one so for that reason I will give you two stars ordered this particular mouse only two months ago and it already broken should get my money back .
positive,excellent for price ,3,5,excellent for price for a good price for the price .
negative,disappointed in this mouse the wheel broke after months ,9,1,mouse the wheel broke after months . disappointed in the mouse . the wheel was broken .
